"","resource","site","minmax","CI","dates"
"1","resource","site","minmax","CI","dates"
"2","GM","1","min_date","CI66","2023-7-21"
"3","GM","1","max_date","CI66","2023-7-30"
"4","GM","1","min_date","CI95","2023-7-17"
"5","GM","1","max_date","CI95","2023-8-4"
"6","GM","1","min_date","CI99","2023-7-14"
"7","GM","1","max_date","CI99","2023-8-7"
"8","GM","2","min_date","CI66","2023-7-16"
"9","GM","2","max_date","CI66","2023-7-25"
"10","GM","2","min_date","CI95","2023-7-11"
"11","GM","2","max_date","CI95","2023-7-30"
"12","GM","2","min_date","CI99","2023-7-9"
"13","GM","2","max_date","CI99","2023-8-2"
"14","GM","3","min_date","CI66","2023-7-22"
"15","GM","3","max_date","CI66","2023-7-31"
"16","GM","3","min_date","CI95","2023-7-17"
"17","GM","3","max_date","CI95","2023-8-5"
"18","GM","3","min_date","CI99","2023-7-15"
"19","GM","3","max_date","CI99","2023-8-7"
"20","GM","4","min_date","CI66","2023-7-22"
"21","GM","4","max_date","CI66","2023-8-2"
"22","GM","4","min_date","CI95","2023-7-17"
"23","GM","4","max_date","CI95","2023-8-8"
"24","GM","4","min_date","CI99","2023-7-14"
"25","GM","4","max_date","CI99","2023-8-11"
"26","GM","5","min_date","CI66","2023-7-30"
"27","GM","5","max_date","CI66","2023-8-11"
"28","GM","5","min_date","CI95","2023-7-25"
"29","GM","5","max_date","CI95","2023-8-17"
"30","GM","5","min_date","CI99","2023-7-23"
"31","GM","5","max_date","CI99","2023-8-20"
"32","GM","6","min_date","CI66","2023-7-28"
"33","GM","6","max_date","CI66","2023-8-7"
"34","GM","6","min_date","CI95","2023-7-22"
"35","GM","6","max_date","CI95","2023-8-14"
"36","GM","6","min_date","CI99","2023-7-20"
"37","GM","6","max_date","CI99","2023-8-16"
"38","GM","7","min_date","CI66","2023-7-19"
"39","GM","7","max_date","CI66","2023-7-28"
"40","GM","7","min_date","CI95","2023-7-14"
"41","GM","7","max_date","CI95","2023-8-2"
"42","GM","7","min_date","CI99","2023-7-13"
"43","GM","7","max_date","CI99","2023-8-4"
"44","GM","8","min_date","CI66","2023-7-27"
"45","GM","8","max_date","CI66","2023-8-5"
"46","GM","8","min_date","CI95","2023-7-23"
"47","GM","8","max_date","CI95","2023-8-10"
"48","GM","8","min_date","CI99","2023-7-21"
"49","GM","8","max_date","CI99","2023-8-13"
"50","GM","9","min_date","CI66","2023-7-26"
"51","GM","9","max_date","CI66","2023-8-5"
"52","GM","9","min_date","CI95","2023-7-21"
"53","GM","9","max_date","CI95","2023-8-11"
"54","GM","9","min_date","CI99","2023-7-18"
"55","GM","9","max_date","CI99","2023-8-14"
"56","GM","10","min_date","CI66","2023-7-21"
"57","GM","10","max_date","CI66","2023-7-30"
"58","GM","10","min_date","CI95","2023-7-17"
"59","GM","10","max_date","CI95","2023-8-4"
"60","GM","10","min_date","CI99","2023-7-15"
"61","GM","10","max_date","CI99","2023-8-7"
"62","GM","11","min_date","CI66","2023-7-17"
"63","GM","11","max_date","CI66","2023-7-25"
"64","GM","11","min_date","CI95","2023-7-13"
"65","GM","11","max_date","CI95","2023-7-29"
"66","GM","11","min_date","CI99","2023-7-11"
"67","GM","11","max_date","CI99","2023-8-1"
"68","GM","12","min_date","CI66","2023-7-23"
"69","GM","12","max_date","CI66","2023-8-2"
"70","GM","12","min_date","CI95","2023-7-19"
"71","GM","12","max_date","CI95","2023-8-7"
"72","GM","12","min_date","CI99","2023-7-16"
"73","GM","12","max_date","CI99","2023-8-10"
"74","GM","13","min_date","CI66","2023-7-16"
"75","GM","13","max_date","CI66","2023-7-25"
"76","GM","13","min_date","CI95","2023-7-12"
"77","GM","13","max_date","CI95","2023-7-30"
"78","GM","13","min_date","CI99","2023-7-10"
"79","GM","13","max_date","CI99","2023-8-2"
"80","GM","14","min_date","CI66","2023-7-20"
"81","GM","14","max_date","CI66","2023-7-29"
"82","GM","14","min_date","CI95","2023-7-16"
"83","GM","14","max_date","CI95","2023-8-3"
"84","GM","14","min_date","CI99","2023-7-14"
"85","GM","14","max_date","CI99","2023-8-6"
"86","GM","15","min_date","CI66","2023-7-30"
"87","GM","15","max_date","CI66","2023-8-10"
"88","GM","15","min_date","CI95","2023-7-24"
"89","GM","15","max_date","CI95","2023-8-17"
"90","GM","15","min_date","CI99","2023-7-22"
"91","GM","15","max_date","CI99","2023-8-20"
"92","GM","16","min_date","CI66","2023-8-3"
"93","GM","16","max_date","CI66","2023-8-13"
"94","GM","16","min_date","CI95","2023-7-29"
"95","GM","16","max_date","CI95","2023-8-19"
"96","GM","16","min_date","CI99","2023-7-27"
"97","GM","16","max_date","CI99","2023-8-23"
"98","GM","17","min_date","CI66","2023-8-1"
"99","GM","17","max_date","CI66","2023-8-10"
"100","GM","17","min_date","CI95","2023-7-28"
"101","GM","17","max_date","CI95","2023-8-14"
"102","GM","17","min_date","CI99","2023-7-26"
"103","GM","17","max_date","CI99","2023-8-16"
"104","GM","18","min_date","CI66","2023-7-20"
"105","GM","18","max_date","CI66","2023-7-30"
"106","GM","18","min_date","CI95","2023-7-15"
"107","GM","18","max_date","CI95","2023-8-6"
"108","GM","18","min_date","CI99","2023-7-12"
"109","GM","18","max_date","CI99","2023-8-9"
"110","GM","19","min_date","CI66","2023-7-21"
"111","GM","19","max_date","CI66","2023-7-29"
"112","GM","19","min_date","CI95","2023-7-17"
"113","GM","19","max_date","CI95","2023-8-3"
"114","GM","19","min_date","CI99","2023-7-15"
"115","GM","19","max_date","CI99","2023-8-5"
"116","GM","20","min_date","CI66","2023-8-6"
"117","GM","20","max_date","CI66","2023-8-15"
"118","GM","20","min_date","CI95","2023-8-2"
"119","GM","20","max_date","CI95","2023-8-20"
"120","GM","20","min_date","CI99","2023-7-30"
"121","GM","20","max_date","CI99","2023-8-22"
"122","GM","21","min_date","CI66","2023-7-17"
"123","GM","21","max_date","CI66","2023-7-26"
"124","GM","21","min_date","CI95","2023-7-13"
"125","GM","21","max_date","CI95","2023-8-1"
"126","GM","21","min_date","CI99","2023-7-11"
"127","GM","21","max_date","CI99","2023-8-6"
"128","GM","22","min_date","CI66","2023-7-26"
"129","GM","22","max_date","CI66","2023-8-4"
"130","GM","22","min_date","CI95","2023-7-21"
"131","GM","22","max_date","CI95","2023-8-10"
"132","GM","22","min_date","CI99","2023-7-19"
"133","GM","22","max_date","CI99","2023-8-12"
"134","GM","23","min_date","CI66","2023-8-1"
"135","GM","23","max_date","CI66","2023-8-12"
"136","GM","23","min_date","CI95","2023-7-27"
"137","GM","23","max_date","CI95","2023-8-18"
"138","GM","23","min_date","CI99","2023-7-25"
"139","GM","23","max_date","CI99","2023-8-21"
"140","GM","24","min_date","CI66","2023-8-25"
"141","GM","24","max_date","CI66","2023-9-8"
"142","GM","24","min_date","CI95","2023-8-20"
"143","GM","24","max_date","CI95","2023-9-18"
"144","GM","24","min_date","CI99","2023-8-16"
"145","GM","24","max_date","CI99","2023-9-22"
"146","GM","25","min_date","CI66","2023-8-10"
"147","GM","25","max_date","CI66","2023-8-21"
"148","GM","25","min_date","CI95","2023-8-5"
"149","GM","25","max_date","CI95","2023-8-29"
"150","GM","25","min_date","CI99","2023-8-2"
"151","GM","25","max_date","CI99","2023-9-3"
"152","GM","26","min_date","CI66","2023-7-20"
"153","GM","26","max_date","CI66","2023-7-30"
"154","GM","26","min_date","CI95","2023-7-15"
"155","GM","26","max_date","CI95","2023-8-4"
"156","GM","26","min_date","CI99","2023-7-12"
"157","GM","26","max_date","CI99","2023-8-8"
"158","GM","27","min_date","CI66","2023-8-11"
"159","GM","27","max_date","CI66","2023-8-25"
"160","GM","27","min_date","CI95","2023-8-6"
"161","GM","27","max_date","CI95","2023-9-2"
"162","GM","27","min_date","CI99","2023-8-4"
"163","GM","27","max_date","CI99","2023-9-7"
"164","GM","28","min_date","CI66","2023-7-24"
"165","GM","28","max_date","CI66","2023-8-3"
"166","GM","28","min_date","CI95","2023-7-19"
"167","GM","28","max_date","CI95","2023-8-8"
"168","GM","28","min_date","CI99","2023-7-17"
"169","GM","28","max_date","CI99","2023-8-11"
"170","GM","29","min_date","CI66","2023-7-21"
"171","GM","29","max_date","CI66","2023-7-30"
"172","GM","29","min_date","CI95","2023-7-16"
"173","GM","29","max_date","CI95","2023-8-4"
"174","GM","29","min_date","CI99","2023-7-14"
"175","GM","29","max_date","CI99","2023-8-8"
"176","GM","30","min_date","CI66","2023-7-30"
"177","GM","30","max_date","CI66","2023-8-9"
"178","GM","30","min_date","CI95","2023-7-24"
"179","GM","30","max_date","CI95","2023-8-14"
"180","GM","30","min_date","CI99","2023-7-22"
"181","GM","30","max_date","CI99","2023-8-18"
"182","GM","31","min_date","CI66","2023-8-3"
"183","GM","31","max_date","CI66","2023-8-14"
"184","GM","31","min_date","CI95","2023-7-29"
"185","GM","31","max_date","CI95","2023-8-19"
"186","GM","31","min_date","CI99","2023-7-25"
"187","GM","31","max_date","CI99","2023-8-23"
"188","GM","32","min_date","CI66","2023-7-29"
"189","GM","32","max_date","CI66","2023-8-7"
"190","GM","32","min_date","CI95","2023-7-24"
"191","GM","32","max_date","CI95","2023-8-14"
"192","GM","32","min_date","CI99","2023-7-22"
"193","GM","32","max_date","CI99","2023-8-17"
