"","resource","site","min66","max66","min95","max95","min99","max99"
"1","GM","1","2023-6-30","2023-7-11","2023-6-24","2023-7-16","2023-6-22","2023-7-19"
"2","GM","2","2023-7-2","2023-7-14","2023-6-26","2023-7-20","2023-6-23","2023-7-23"
"3","GM","3","2023-7-6","2023-7-18","2023-6-29","2023-7-23","2023-6-27","2023-7-26"
"4","GM","4","2023-7-10","2023-7-21","2023-7-3","2023-7-27","2023-6-29","2023-7-29"
"5","GM","5","2023-7-11","2023-7-24","2023-7-4","2023-7-29","2023-7-1","2023-8-1"
"6","GM","6","2023-7-12","2023-7-25","2023-7-5","2023-7-31","2023-7-2","2023-8-4"
"7","GM","7","2023-7-6","2023-7-21","2023-6-29","2023-7-28","2023-6-25","2023-8-1"
"8","GM","8","2023-7-5","2023-7-18","2023-6-29","2023-7-24","2023-6-27","2023-7-26"
"9","GM","9","2023-7-14","2023-7-27","2023-7-8","2023-8-2","2023-7-5","2023-8-4"
"10","GM","10","2023-7-6","2023-7-18","2023-6-29","2023-7-25","2023-6-27","2023-7-28"
"11","GM","11","2023-7-7","2023-7-18","2023-7-1","2023-7-23","2023-6-28","2023-7-25"
"12","GM","12","2023-7-4","2023-7-16","2023-6-28","2023-7-22","2023-6-26","2023-7-25"
"13","GM","13","2023-7-8","2023-7-21","2023-6-30","2023-7-27","2023-6-27","2023-7-29"
"14","GM","14","2023-7-2","2023-7-15","2023-6-25","2023-7-21","2023-6-22","2023-7-24"
"15","GM","15","2023-7-16","2023-7-28","2023-7-10","2023-8-2","2023-7-7","2023-8-7"
"16","GM","16","2023-7-5","2023-7-18","2023-6-30","2023-7-23","2023-6-27","2023-7-26"
"17","GM","17","2023-7-7","2023-7-19","2023-7-1","2023-7-25","2023-6-29","2023-7-28"
"18","GM","18","2023-7-6","2023-7-18","2023-6-30","2023-7-23","2023-6-28","2023-7-24"
"19","GM","19","2023-7-2","2023-7-13","2023-6-26","2023-7-18","2023-6-23","2023-7-21"
"20","GM","20","2023-7-21","2023-8-1","2023-7-14","2023-8-7","2023-7-12","2023-8-9"
"21","GM","21","2023-7-4","2023-7-17","2023-6-27","2023-7-23","2023-6-24","2023-7-27"
"22","GM","22","2023-7-2","2023-7-14","2023-6-25","2023-7-20","2023-6-22","2023-7-23"
"23","GM","23","2023-7-7","2023-7-22","2023-6-30","2023-7-28","2023-6-27","2023-8-2"
"24","GM","24","2023-8-10","2023-8-30","2023-8-1","2023-9-8","2023-7-28","2023-9-13"
"25","GM","25","2023-7-15","2023-7-29","2023-7-9","2023-8-5","2023-7-6","2023-8-8"
"26","GM","26","2023-7-19","2023-8-2","2023-7-11","2023-8-8","2023-7-8","2023-8-12"
"27","GM","27","2023-7-23","2023-8-6","2023-7-15","2023-8-11","2023-7-12","2023-8-15"
"28","GM","28","2023-7-4","2023-7-18","2023-6-28","2023-7-24","2023-6-25","2023-7-28"
"29","GM","29","2023-6-28","2023-7-10","2023-6-21","2023-7-15","2023-6-18","2023-7-17"
"30","GM","30","2023-7-10","2023-7-23","2023-7-4","2023-7-28","2023-7-1","2023-7-31"
"31","GM","31","2023-7-9","2023-7-22","2023-7-1","2023-7-29","2023-6-28","2023-8-2"
"32","GM","32","2023-7-16","2023-7-30","2023-7-9","2023-8-4","2023-7-7","2023-8-7"
